objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,FINALSMP.pdf,,,Final SMP Paper,"Vislay, Jessie",2019-04-25,Written portion of SMP,Report writing;English literature—19th century;Archetype (Psychology) in literature,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Output,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll003,WutheringHeightsChapterDraft2.pdf,,,Draft of Wuthering Heights Chapter no.1,"Vislay, Jessie",,2nd draft of Wuthering Heights chapter ,Report writing;English literature—19th century;Archetype (Psychology) in literature,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll004,WutheringHeightsChapterDraft3.pdf,,,Draft of Wuthering Heights Chapter no.2,"Vislay, Jessie",,3rd draft of Wuthering Heights chapter,Report writing;English literature—19th century;Archetype (Psychology) in literature,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll005,JaneEyreDraft1.pdf,,,Draft of Jane Eyre Chapter no.1,"Vislay, Jessie",,1st draft of Jane Eyre chapter,Report writing;English literature—19th century;Archetype (Psychology) in literature,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll006,JaneEyreDraft2.pdf,,,Draft of Jane Eyre Chapter no.2,"Vislay, Jessie",,2nd draft of Jane Eyre chapter,Report writing;English literature—19th century;Archetype (Psychology) in literature,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll007,Chapter3-AliceDraft2.pdf,,,Draft of Alice's Adventures in Wonderland chapter,"Vislay, Jessie",,2nd draft of Alice's Adventures in Wonderland chapter,"Report writing;English literature—19th century;Illustration of books, Victorian;Archetype (Psychology) in literature;Children","St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll008,DanielDerondaDraft2.pdf,,,Draft of Daniel Deronda chapter,"Vislay, Jessie",,2nd draft of Daniel Deronda chapter,Report writing;English literature—19th century;Archetype (Psychology) in literature;Feminism,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll009,DraculaDraft1.pdf,,,Draft of Dracula chapter no.1,"Vislay, Jessie",,1st draft of Dracula chapter,Report writing;English literature—19th century;Archetype (Psychology) in literature;Feminism,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll010,DraculaDraft2.pdf,,,Draft of Dracula chapter no.2,"Vislay, Jessie",,2nd draft of Dracula chapter,Report writing;English literature—19th century;Archetype (Psychology) in literature;Feminism,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll011,DraculaDraft3.pdf,,,Draft of Dracula chapter no.3,"Vislay, Jessie",,3rd draft of Dracula chapter,Report writing;English literature—19th century;Archetype (Psychology) in literature;Feminism,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll012,VislaySMPPresentation.pdf,,,Presentation Slides,"Vislay, Jessie",2019-04-29,Powerpoint slides from SMP presentation,English literature—19th century;Archetype (Psychology) in literature,"St. Mary's City, MD",38.1885,-76.4263,,,Collection;Presentation,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll013,IMG_0290,,,Jessie Presenting no.1,"Vislay, Jessie",2019-04-29,Picture of Jessie presenting,"English literature—19th century;Portraits, Victorian;St. Mary's College of Maryland","St. Mary's City, MD",38.1885,-76.4263,,,Image;Presentation,image/jpeg,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll014,IMG_0288,,,Jessie Presenting no.2,"Vislay, Jessie",2019-04-29,Picture of Jessie presenting,"English literature—19th century;Portraits, Victorian;St. Mary's College of Maryland","St. Mary's City, MD",38.1885,-76.4263,,,Image;Presentation,image/jpeg,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll015,,,,Presentation Notes,"Vislay, Jessie",2019-04-29,Notes for presentation of project,English literature—19th century;Archetype (Psychology) in literature;,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Presentation,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll016,IMG_0258,,,SMP Due Date Picture,"Vislay, Jessie",2019-04-25,Picture of Jessie after turning in final project,Pin-back buttons;St. Mary's College of Maryland,"St. Mary's City, MD",38.1885,-76.4263,,,Image;DueDate,image/jpeg,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll017,IMG_0281,,,Family picture on presentation day,"Bauer, Sebastian",2019-04-29,"Picture of Jessie and parents, Don and Cheri",Families;St. Mary's College of Maryland,"St. Mary's City, MD",38.1885,-76.4263,,,Image;Presentation,image/jpeg,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll018,IMG_3127,,,Drawing of Catherine,"Vislay, Jessie",,Draft of costume design for Catherine Earnshaw Linton,English literature—19th century;Costume design,"St. Mary's City, MD",38.1885,-76.4263,,,Image;Draft,image/jpeg,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
col019,IMG_3128,,,Drawing of Lucy,"Vislay, Jessie",,Draft of costume design for Lucy Westenra,English literature—19th century;Costume design,"St. Mary's City, MD",38.1885,-76.4263,,,Image;Draft,image/jpeg,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll020,,,,Research notes on Victorian costuming,"Vislay, Jessie",2019,Notes from nine months of research on Victorian costume,Report writing;Research;English literature—19th century;Costume design,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll021,,,,Research notes on Victorian literature,"Vislay, Jessie",2019,Notes from nine months of research on Victorian literature and the five books used in this project,Report writing;English literature—19th century;Research,"St. Mary's City, MD",38.1885,-76.4263,,,Text;Draft,application/PDF,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
